VideoID,Label
HVC286,1
HVC288,1
HVC314,2
HVC326,2
HVC328,1
HVC332,2
HVC333,2
HVC356,3
HVC443,3
HVC468,1
HVC472,2
HVC476,1
HVC477,1
HVC479,1
HVC480,3
HVC481,2
HVC505,1
HVC516,1
HVC522,2
HVC633,2
HVC657,1
HVC675,1
HVC677,1
HVC680,3
HVC709,1
HVC713,2
HVC716,2
HVC717,2
HVC720,2
HVC721,3
HVC728,2
HVC729,3
HVC731,3
HVC736,1
HVC739,2
HVC741,1
HVC745,3
HVC755,1
HVC788,3
HVC855,1
HVC857,1
HVC871,1
HVC872,1
HVC883,2
HVC887,1
HVC919,3
HVC921,2
HVC961,1
HVC1035,1
HVC1037,2
HVC1039,3
HVC1063,1
HVC1064,1
HVC1069,3
HVC1076,1
HVC1079,1
HVC1082,3
HVC1083,3
HVC1086,1
HVC1088,1
HVC1105,2
HVC1107,2
HVC1112,1
HVC1118,3
HVC1120,2
HVC1124,3
HVC1125,1
HVC1127,1
HVC1132,1
HVC1133,3
HVC1135,2
HVC1136,1
HVC1138,1
HVC1141,3
HVC1142,2
HVC1143,1
HVC1144,3
HVC1151,2
HVC1152,2
HVC1153,1
HVC1154,3
HVC1155,3
HVC1158,2
HVC1160,2
HVC1161,2
HVC1162,3
HVC1168,2
HVC1191,1
HVC1209,1
HVC1228,3
HVC1229,1
HVC1230,2
HVC1231,1
HVC1232,2
HVC1233,1
HVC1238,3
HVC1242,1
HVC1246,2
HVC1247,2
HVC1258,3
HVC1259,2
HVC1266,1
HVC1268,3
HVC1269,1
HVC1279,1
HVC1281,2
HVC1282,1
HVC1316,2
HVC1340,1
HVC1345,2
HVC1350,3
HVC1379,1
HVC1410,2
HVC1411,2
HVC1412,3
HVC1414,1
HVC1415,1
HVC1416,2
HVC1417,1
HVC1419,2
HVC1422,2
HVC1425,2
HVC1433,2
HVC1436,2
HVC1437,3
HVC1443,3
HVC1555,3
HVC1556,2
HVC1557,2
HVC1563,1
HVC1567,2
HVC1568,1
HVC1579,1
HVC1582,3
HVC1590,3
HVC1600,1
HVC1605,2
HVC1609,2
HVC1610,2
HVC1612,2
HVC1613,2
HVC1615,1
HVC1620,1
HVC1622,2
HVC1637,1
HVC1639,1
HVC1640,3
HVC1646,3
HVC1667,2
HVC1673,2
HVC1681,3
HVC1684,2
HVC1722,3
HVC1724,2
HVC1726,3
HVC1728,3
HVC1729,1
HVC1731,2
HVC1734,3
HVC1742,1
HVC1764,1
HVC1765,3
HVC1769,3
HVC1777,3
HVC1778,3
HVC1779,3
HVC1783,3
HVC1789,3
HVC1792,3
HVC1808,2
HVC1817,3
HVC1819,1
HVC1824,3
HVC1825,2
HVC1828,3
HVC1831,2
HVC1832,3
HVC1834,1
HVC1835,2
HVC1836,3
HVC1840,1
HVC1842,3
HVC1844,3
HVC1845,3
HVC1848,3
HVC1849,1
HVC1850,1
HVC1851,3
HVC1852,1
HVC1854,3
HVC1860,1
HVC1864,3
HVC1865,3
HVC1866,1
HVC1868,1
HVC1872,3
HVC1873,3
HVC1883,2
HVC1887,3
HVC1889,3
HVC1897,1
HVC1898,3
HVC1900,1
