VideoID,Label
HVC286,3
HVC288,1
HVC314,2
HVC326,1
HVC328,2
HVC332,2
HVC333,2
HVC356,3
HVC443,3
HVC468,3
HVC472,1
HVC476,2
HVC477,2
HVC479,3
HVC480,1
HVC481,1
HVC505,2
HVC516,2
HVC522,2
HVC633,2
HVC657,1
HVC675,1
HVC677,1
HVC680,3
HVC709,2
HVC713,1
HVC716,2
HVC717,1
HVC720,1
HVC721,3
HVC728,3
HVC729,2
HVC731,2
HVC736,3
HVC739,3
HVC741,3
HVC745,3
HVC755,1
HVC788,1
HVC855,1
HVC857,2
HVC871,3
HVC872,3
HVC883,1
HVC887,1
HVC919,2
HVC921,2
HVC961,2
HVC1035,3
HVC1037,2
HVC1039,2
HVC1063,1
HVC1064,3
HVC1069,1
HVC1076,2
HVC1079,3
HVC1082,1
HVC1083,3
HVC1086,2
HVC1088,3
HVC1105,1
HVC1107,1
HVC1112,1
HVC1118,1
HVC1120,1
HVC1124,1
HVC1125,1
HVC1127,1
HVC1132,3
HVC1133,3
HVC1135,3
HVC1136,2
HVC1138,3
HVC1141,3
HVC1142,1
HVC1143,1
HVC1144,1
HVC1151,1
HVC1152,3
HVC1153,2
HVC1154,2
HVC1155,2
HVC1158,1
HVC1160,2
HVC1161,2
HVC1162,3
HVC1168,1
HVC1191,3
HVC1209,3
HVC1228,2
HVC1229,2
HVC1230,2
HVC1231,3
HVC1232,2
HVC1233,3
HVC1238,2
HVC1242,2
HVC1246,1
HVC1247,1
HVC1258,1
HVC1259,2
HVC1266,3
HVC1268,3
HVC1269,1
HVC1279,1
HVC1281,3
HVC1282,2
HVC1316,2
HVC1340,3
HVC1345,3
HVC1350,1
HVC1379,3
HVC1410,2
HVC1411,2
HVC1412,2
HVC1414,1
HVC1415,1
HVC1416,1
HVC1417,1
HVC1419,3
HVC1422,1
HVC1425,1
HVC1433,1
HVC1436,3
HVC1437,2
HVC1443,3
HVC1555,2
HVC1556,2
HVC1557,2
HVC1563,2
HVC1567,2
HVC1568,2
HVC1579,1
HVC1582,2
HVC1590,1
HVC1600,3
HVC1605,2
HVC1609,2
HVC1610,2
HVC1612,2
HVC1613,2
HVC1615,2
HVC1620,2
HVC1622,2
HVC1637,1
HVC1639,1
HVC1640,1
HVC1646,3
HVC1667,2
HVC1673,2
HVC1681,3
HVC1684,1
HVC1722,3
HVC1724,2
HVC1726,3
HVC1728,2
HVC1729,2
HVC1731,3
HVC1734,1
HVC1742,3
HVC1764,2
HVC1765,1
HVC1769,3
HVC1777,3
HVC1778,2
HVC1779,1
HVC1783,2
HVC1789,1
HVC1792,3
HVC1808,2
HVC1817,1
HVC1819,3
HVC1824,3
HVC1825,2
HVC1828,2
HVC1831,3
HVC1832,2
HVC1834,1
HVC1835,1
HVC1836,1
HVC1840,1
HVC1842,2
HVC1844,1
HVC1845,1
HVC1848,3
HVC1849,3
HVC1850,3
HVC1851,3
HVC1852,3
HVC1854,2
HVC1860,3
HVC1864,1
HVC1865,3
HVC1866,1
HVC1868,1
HVC1872,1
HVC1873,3
HVC1883,1
HVC1887,3
HVC1889,3
HVC1897,2
HVC1898,2
HVC1900,3
HVC1902,1
HVC1907,3
HVC1908,2
HVC1910,2
HVC1938,1
HVC1939,1
HVC1944,1
HVC1945,2
HVC1946,1
HVC1948,3
HVC1950,3
HVC1952,3
HVC1955,3
HVC1957,1
HVC1963,1
HVC1968,3
HVC1971,3
HVC1972,1
HVC1979,3
HVC1980,1
HVC1986,1
HVC1992,2
HVC1995,2
HVC2004,2
HVC2010,2
HVC2018,3
HVC2021,0
HVC2062,3
HVC2065,3
HVC2069,3
HVC2071,3
HVC2079,3
HVC2096,1
HVC2132,3
HVC2135,3
HVC2140,3
